trail,date,status
Caesar Creek,2022-06-01 5:45:03,open
Caesar Creek,2022-05-29 17:45:04,caution
Caesar Creek,2022-05-19 7:30:03,closed
Caesar Creek,2022-05-17 8:15:04,caution
Caesar Creek,2022-05-15 13:00:05,closed
Caesar Creek,2022-05-11 19:15:03,open
Caesar Creek,2022-05-09 19:15:03,caution
Caesar Creek,2022-05-03 17:00:06,closed
Caesar Creek,2022-05-01 16:45:03,caution
Caesar Creek,2022-04-30 6:45:03,closed
Caesar Creek,2022-04-29 17:45:03,open
Caesar Creek,2022-04-24 9:00:06,caution
Caesar Creek,2022-04-04 7:45:03,closed
Caesar Creek,2022-04-03 22:15:02,open
Caesar Creek,2022-03-28 20:45:03,caution
Caesar Creek,2022-03-22 12:30:03,closed
Caesar Creek,2022-03-21 8:30:04,caution
Caesar Creek,2022-03-19 15:15:03,closed
Caesar Creek,2022-03-17 21:30:04,open
Caesar Creek,2022-03-07 6:15:03,closed
Caesar Creek,2022-03-05 12:45:03,caution
Caesar Creek,2022-02-09 12:30:04,closed
Caesar Creek,2022-02-04 10:00:04,freeze
Caesar Creek,2022-01-31 14:15:04,closed
Caesar Creek,2022-01-15 7:30:03,freeze
Caesar Creek,2022-01-09 9:30:03,closed
Caesar Creek,2022-01-06 5:45:04,freeze
Caesar Creek,2021-12-25 20:45:02,closed
Caesar Creek,2021-12-23 11:45:03,caution
Caesar Creek,2021-12-16 20:15:03,closed
Caesar Creek,2021-12-14 22:45:03,caution
Caesar Creek,2021-12-06 6:30:03,closed
Caesar Creek,2021-11-26 10:00:05,caution
Caesar Creek,2021-11-25 10:00:06,closed
Caesar Creek,2021-11-24 7:45:02,caution
Caesar Creek,2021-11-21 7:30:04,closed
Caesar Creek,2021-11-20 11:00:05,open
Caesar Creek,2021-11-16 5:45:03,caution
Caesar Creek,2021-11-11 14:15:03,closed
Caesar Creek,2021-11-06 12:30:03,open
Caesar Creek,2021-11-02 6:15:01,caution
Caesar Creek,2021-10-25 7:15:03,closed
Caesar Creek,2021-10-24 12:15:03,caution
Caesar Creek,2021-10-19 7:00:05,open
Caesar Creek,2021-10-15 22:45:03,caution
Caesar Creek,2021-10-10 10:30:03,open
Caesar Creek,2021-10-03 11:00:04,caution
Caesar Creek,2021-09-26 9:45:03,open
Caesar Creek,2021-09-24 17:15:03,caution
Caesar Creek,2021-09-22 5:30:03,closed
Caesar Creek,2021-09-20 14:00:05,caution
Caesar Creek,2021-09-06 9:00:05,open
Caesar Creek,2021-09-05 9:45:04,caution
Caesar Creek,2021-09-03 13:15:02,open
Caesar Creek,2021-09-02 20:15:03,caution
Caesar Creek,2021-08-30 6:30:03,closed
Caesar Creek,2021-08-28 8:15:03,open
Caesar Creek,2021-08-26 20:30:04,closed
Caesar Creek,2021-08-21 12:30:04,open
Caesar Creek,2021-08-20 21:45:03,caution
Caesar Creek,2021-08-19 6:15:03,closed
Caesar Creek,2021-08-16 22:15:03,caution
Caesar Creek,2021-07-22 13:45:02,open
Caesar Creek,2021-07-19 21:15:03,caution
Caesar Creek,2021-07-11 8:15:04,closed
Caesar Creek,2021-07-08 8:30:03,caution
Caesar Creek,2021-07-03 21:45:04,open
Caesar Creek,2021-07-03 13:15:03,caution
Caesar Creek,2021-07-03 9:45:03,open
Caesar Creek,2021-07-03 8:15:04,closed
Caesar Creek,2021-07-02 15:45:03,open
Caesar Creek,2021-06-30 12:15:04,closed
Caesar Creek,2021-06-23 22:30:04,open
Caesar Creek,2021-06-18 11:45:03,closed
Caesar Creek,2021-06-16 18:45:03,open
Caesar Creek,2021-06-13 12:30:03,caution
Caesar Creek,2021-06-07 6:45:04,closed
Caesar Creek,2021-06-06 9:00:06,caution
Caesar Creek,2021-06-02 8:15:05,closed
Caesar Creek,2021-05-31 10:15:03,open
Caesar Creek,2021-05-30 9:00:06,caution
Caesar Creek,2021-05-28 14:45:04,closed
Caesar Creek,2021-05-26 17:30:03,caution
Caesar Creek,2021-05-21 11:45:01,open
Caesar Creek,2021-05-20 5:30:04,caution
Caesar Creek,2021-05-17 9:15:02,closed
Caesar Creek,2021-05-14 13:00:06,open
Caesar Creek,2021-05-13 10:00:07,caution
Caesar Creek,2021-05-03 10:00:08,closed
Caesar Creek,2021-05-01 13:15:05,caution
Caesar Creek,2021-04-28 22:15:04,closed
Caesar Creek,2021-04-27 13:00:07,open
Caesar Creek,2021-04-25 14:00:06,caution
Caesar Creek,2021-04-24 16:30:03,closed
Caesar Creek,2021-04-23 21:30:04,caution
Caesar Creek,2021-04-21 7:30:04,closed
Caesar Creek,2021-04-14 8:15:04,caution
Caesar Creek,2021-04-10 14:30:03,closed
Caesar Creek,2021-04-09 14:30:03,caution
Caesar Creek,2021-04-08 16:00:05,closed
Caesar Creek,2021-04-06 8:30:03,open
Caesar Creek,2021-04-02 18:45:01,caution
Caesar Creek,2021-03-26 18:30:03,closed
Caesar Creek,2021-03-24 19:45:02,caution
Caesar Creek,2021-03-24 6:30:02,closed
Caesar Creek,2021-03-21 9:30:04,caution
Caesar Creek,2021-03-15 15:45:04,closed
Caesar Creek,2021-03-13 15:15:03,caution
Caesar Creek,2021-03-11 13:15:03,closed
Caesar Creek,2021-03-09 10:15:03,caution
Caesar Creek,2021-02-22 22:00:03,closed
Caesar Creek,2021-02-09 16:30:03,freeze
Caesar Creek,2021-02-02 16:15:03,closed
Caesar Creek,2021-02-01 22:45:03,freeze
Caesar Creek,2021-01-30 22:30:03,closed
Caesar Creek,2021-01-28 7:45:03,freeze
Caesar Creek,2021-01-24 17:30:03,closed
Caesar Creek,2021-01-22 19:45:04,freeze
Caesar Creek,2021-01-15 7:15:04,closed
Caesar Creek,2021-01-09 19:45:03,freeze
Caesar Creek,2020-12-26 17:15:03,closed
Caesar Creek,2020-12-25 11:15:03,freeze
Caesar Creek,2020-12-17 12:00:04,closed
Caesar Creek,2020-12-15 7:45:03,freeze
Caesar Creek,2020-12-13 12:15:02,caution
Caesar Creek,2020-12-12 17:30:03,closed
Caesar Creek,2020-12-08 6:45:03,caution
Caesar Creek,2020-11-29 20:45:03,closed
Caesar Creek,2020-11-27 22:30:03,caution
Caesar Creek,2020-11-25 8:15:03,closed
Caesar Creek,2020-11-16 20:15:03,caution
Caesar Creek,2020-11-15 12:45:03,closed
Caesar Creek,2020-11-14 6:30:03,open
Caesar Creek,2020-11-10 22:30:03,caution
Caesar Creek,2020-11-04 11:45:03,open
Caesar Creek,2020-10-31 14:00:05,caution
Caesar Creek,2020-10-28 22:45:03,closed
Caesar Creek,2020-10-24 13:00:05,caution
Caesar Creek,2020-10-23 23:15:03,closed
Caesar Creek,2020-10-22 10:45:02,caution
Caesar Creek,2020-10-19 7:30:03,closed
Caesar Creek,2020-10-15 22:45:03,caution
Caesar Creek,2020-10-15 6:45:03,open
Caesar Creek,2020-10-13 8:00:08,caution
Caesar Creek,2020-10-03 21:15:03,open
Caesar Creek,2020-09-29 22:00:05,caution
Caesar Creek,2020-09-29 16:30:04,open
Caesar Creek,2020-09-28 8:45:03,caution
Caesar Creek,2020-09-15 19:30:03,open
Caesar Creek,2020-09-13 13:30:03,caution
Caesar Creek,2020-09-13 8:15:03,closed
Caesar Creek,2020-09-04 15:45:03,open
Caesar Creek,2020-09-02 8:00:05,caution
Caesar Creek,2020-08-30 10:15:03,open
Caesar Creek,2020-08-29 8:30:03,caution
Caesar Creek,2020-08-28 14:15:04,closed
Caesar Creek,2020-08-20 15:30:03,open
Caesar Creek,2020-08-19 17:45:04,caution
Caesar Creek,2020-08-18 12:00:05,closed
Caesar Creek,2020-08-18 11:15:03,caution
Caesar Creek,2020-08-15 16:15:03,open
Caesar Creek,2020-08-14 21:15:04,caution
Caesar Creek,2020-08-13 7:30:03,open
Caesar Creek,2020-08-11 20:45:04,caution
Caesar Creek,2020-08-11 8:00:05,closed
Caesar Creek,2020-08-05 13:45:03,open
Caesar Creek,2020-08-05 9:15:03,caution
Caesar Creek,2020-08-03 18:45:03,closed
Caesar Creek,2020-08-03 7:45:04,caution
Caesar Creek,2020-08-02 8:30:02,closed
Caesar Creek,2020-08-01 10:45:03,caution
Caesar Creek,2020-07-30 11:45:03,closed
Caesar Creek,2020-07-28 22:45:03,open
Caesar Creek,2020-07-28 14:00:04,caution
Caesar Creek,2020-07-27 18:30:03,closed
Caesar Creek,2020-07-24 18:15:03,open
Caesar Creek,2020-07-24 14:45:04,caution
Caesar Creek,2020-07-23 18:30:03,closed
Caesar Creek,2020-07-23 17:15:03,caution
Caesar Creek,2020-07-22 7:45:03,closed
Caesar Creek,2020-07-20 22:00:04,open
Caesar Creek,2020-07-19 20:45:04,caution
Caesar Creek,2020-07-14 12:00:05,open
Caesar Creek,2020-07-13 23:00:06,caution
Caesar Creek,2020-07-13 8:00:04,closed
Caesar Creek,2020-07-11 16:00:04,open
Caesar Creek,2020-07-10 15:30:03,caution
Caesar Creek,2020-07-09 15:15:03,closed
Caesar Creek,2020-07-09 14:30:04,caution
Caesar Creek,2020-07-07 21:30:03,open
Caesar Creek,2020-07-06 18:15:02,caution
Caesar Creek,2020-06-28 21:30:04,open
Caesar Creek,2020-06-27 12:15:03,closed
Caesar Creek,2020-06-24 21:45:03,caution
Caesar Creek,2020-06-23 7:45:03,closed
Caesar Creek,2020-06-22 9:45:03,caution
Caesar Creek,2020-06-12 12:30:04,open
Caesar Creek,2020-06-11 19:00:04,caution
Caesar Creek,2020-06-09 17:15:03,closed
Caesar Creek,2020-06-09 9:15:03,open
Caesar Creek,2020-06-06 12:15:04,caution
Caesar Creek,2020-06-03 22:00:04,closed
Caesar Creek,2020-06-02 21:00:04,open
Caesar Creek,2020-06-01 7:30:03,caution
Caesar Creek,2020-05-14 18:15:03,closed
Caesar Creek,2020-05-13 17:45:03,caution
Caesar Creek,2020-05-10 16:45:03,closed
Caesar Creek,2020-05-10 13:30:03,caution
Caesar Creek,2020-04-23 10:00:05,closed
Caesar Creek,2020-04-19 14:00:04,caution
Caesar Creek,2020-04-15 17:45:03,closed
Caesar Creek,2020-04-15 11:45:03,caution
Caesar Creek,2020-04-12 20:30:03,closed
Caesar Creek,2020-04-10 12:00:04,caution
Caesar Creek,2020-04-08 23:00:04,closed
Caesar Creek,2020-03-30 9:15:03,caution
Caesar Creek,2020-03-27 8:15:03,closed
Caesar Creek,2020-03-25 21:30:04,caution
Caesar Creek,2020-03-10 6:00:05,closed
Caesar Creek,2020-03-08 20:45:03,caution
Caesar Creek,2020-03-01 9:30:04,closed
Caesar Creek,2020-02-29 2:30:07,freeze
Caesar Creek,2020-02-28 13:30:03,closed
Caesar Creek,2020-02-28 8:00:04,freeze
Caesar Creek,2020-02-22 13:30:03,closed
Caesar Creek,2020-02-21 6:30:03,freeze
Caesar Creek,2020-02-15 12:15:03,closed
Caesar Creek,2020-02-14 11:00:05,freeze
Caesar Creek,2020-02-04 8:15:03,closed
Caesar Creek,2020-02-03 8:30:04,caution
Caesar Creek,2020-01-22 13:30:04,closed
Caesar Creek,2020-01-19 10:45:03,freeze
Caesar Creek,2020-01-18 16:15:04,closed
Caesar Creek,2020-01-17 9:45:04,freeze
Caesar Creek,2020-01-14 21:00:04,caution
Caesar Creek,2020-01-10 12:15:04,closed
Caesar Creek,2020-01-07 18:45:04,caution
Caesar Creek,2020-01-02 22:30:03,closed
Caesar Creek,2020-01-02 13:00:04,caution
Caesar Creek,2019-12-29 6:30:03,closed
Caesar Creek,2019-12-27 20:45:03,caution
Caesar Creek,2019-12-21 18:45:03,closed
Caesar Creek,2019-12-18 20:15:04,freeze
Caesar Creek,2019-11-29 22:00:04,closed
Caesar Creek,2019-11-29 16:17:03,open
Caesar Creek,2019-11-29 3:51:03,caution
Caesar Creek,2019-11-27 5:17:09,closed
Devou Park,2023-03-19 11:30:04,caution
Devou Park,2023-03-17 8:45:04,closed
Devou Park,2023-03-15 13:30:04,caution
Devou Park,2023-03-12 8:15:03,closed
Devou Park,2023-03-06 16:00:08,caution
Devou Park,2023-03-01 19:45:05,closed
Devou Park,2023-03-01 15:15:03,caution
Devou Park,2023-02-27 12:45:04,closed
Devou Park,2023-02-26 13:30:03,caution
Devou Park,2023-02-26 10:00:05,closed
Devou Park,2023-02-26 9:15:03,caution
Devou Park,2023-02-20 18:30:03,closed
Devou Park,2023-02-19 19:30:03,caution
Devou Park,2023-02-04 13:15:03,closed
Devou Park,2023-02-01 5:30:04,freeze
Devou Park,2023-01-16 12:15:04,closed
Devou Park,2023-01-15 8:45:04,freeze
Devou Park,2022-12-28 14:45:03,closed
Devou Park,2022-12-18 9:45:04,freeze
Devou Park,2022-11-27 8:45:03,closed
Devou Park,2022-11-18 16:00:08,caution
Devou Park,2022-11-11 9:30:04,closed
Devou Park,2022-11-02 12:45:03,caution
Devou Park,2022-10-30 23:00:07,closed
Devou Park,2022-10-30 14:00:05,caution
Devou Park,2022-10-30 13:00:06,open
Devou Park,2022-10-27 10:30:03,caution
Devou Park,2022-10-26 8:15:03,closed
Devou Park,2022-10-02 21:45:05,open
Devou Park,2022-09-25 10:30:03,caution
Devou Park,2022-09-25 8:15:03,closed
Devou Park,2022-09-24 12:00:04,open
Devou Park,2022-09-24 7:45:03,closed
Devou Park,2022-09-15 16:30:04,open
Devou Park,2022-09-12 18:30:04,caution
Devou Park,2022-09-11 18:15:03,closed
Devou Park,2022-09-08 7:45:03,caution
Devou Park,2022-09-03 10:00:04,closed
Devou Park,2022-09-02 6:00:03,open
Devou Park,2022-08-31 10:00:04,caution
Devou Park,2022-08-29 19:00:06,closed
Devou Park,2022-08-23 14:45:04,open
Devou Park,2022-08-23 9:15:03,caution
Devou Park,2022-08-20 19:30:04,closed
Devou Park,2022-08-16 17:15:05,open
Devou Park,2022-08-11 16:15:04,caution
Devou Park,2022-08-09 22:15:05,closed
Devou Park,2022-08-07 18:15:05,caution
Devou Park,2022-08-05 9:15:05,closed
Devou Park,2022-08-02 13:00:06,caution
Devou Park,2022-08-02 7:45:04,closed
Devou Park,2022-08-02 7:00:04,caution
Devou Park,2022-08-01 19:00:06,closed
Devou Park,2022-08-01 6:00:05,open
Devou Park,2022-07-31 6:00:04,closed
Devou Park,2022-07-29 18:00:05,open
Devou Park,2022-07-28 15:00:07,caution
Devou Park,2022-07-26 13:15:05,closed
Devou Park,2022-07-21 12:30:04,open
Devou Park,2022-07-20 6:45:04,caution
Devou Park,2022-07-17 11:30:05,closed
Devou Park,2022-07-12 14:15:04,open
Devou Park,2022-07-10 18:45:04,caution
Devou Park,2022-07-06 15:00:04,closed
Devou Park,2022-07-04 17:15:05,open
Devou Park,2022-07-02 7:15:04,caution
Devou Park,2022-06-24 18:45:04,open
Devou Park,2022-06-23 12:00:06,caution
Devou Park,2022-06-22 17:00:06,closed
Devou Park,2022-06-19 15:30:03,open
Devou Park,2022-06-15 12:45:04,caution
Devou Park,2022-06-06 16:45:04,closed
Devou Park,2022-06-06 11:30:08,open
Devou Park,2022-06-03 18:15:03,caution
Devou Park,2022-06-02 10:45:06,closed
Devou Park,2022-05-30 8:15:04,caution
Devou Park,2022-05-25 19:00:06,closed
Devou Park,2022-05-24 16:00:10,caution
Devou Park,2022-05-18 17:15:04,closed
Devou Park,2022-05-17 7:00:08,caution
Devou Park,2022-05-16 18:00:05,closed
Devou Park,2022-05-15 14:15:02,caution
Devou Park,2022-05-15 1:15:04,closed
Devou Park,2022-05-14 14:15:02,caution
Devou Park,2022-05-10 21:15:03,open
Devou Park,2022-05-09 11:45:03,caution
Devou Park,2022-05-03 7:45:04,closed
Devou Park,2022-04-27 18:45:03,open
Devou Park,2022-04-23 11:45:04,caution
Devou Park,2022-04-18 15:45:03,closed
Devou Park,2022-04-16 16:45:04,caution
Devou Park,2022-04-05 11:45:04,closed
Devou Park,2022-03-31 8:00:05,caution
Devou Park,2022-03-27 15:30:03,open
Devou Park,2022-03-25 9:00:05,caution
Devou Park,2022-03-23 14:45:03,closed
Devou Park,2022-03-23 13:00:05,caution
Devou Park,2022-03-22 16:15:03,closed
Devou Park,2022-03-21 14:00:05,caution
Devou Park,2022-03-18 19:00:04,closed
Devou Park,2022-03-15 8:30:04,caution
Devou Park,2022-03-13 13:45:03,closed
Devou Park,2022-03-12 8:00:05,freeze
Devou Park,2022-03-06 7:15:04,closed
Devou Park,2022-03-04 14:30:04,caution
Devou Park,2022-02-15 17:00:04,closed
Devou Park,2022-02-13 9:45:03,freeze
Devou Park,2022-02-08 15:15:03,closed
Devou Park,2022-02-04 10:45:04,freeze
Devou Park,2022-01-31 14:45:03,closed
Devou Park,2022-01-20 7:30:03,freeze
Devou Park,2022-01-18 14:30:04,closed
Devou Park,2022-01-15 18:15:02,freeze
Devou Park,2022-01-12 18:00:05,closed
Devou Park,2022-01-10 19:15:04,freeze
Devou Park,2022-01-09 7:15:03,closed
Devou Park,2022-01-06 5:30:04,freeze
Devou Park,2021-12-08 11:30:04,closed
Devou Park,2021-12-07 19:30:03,freeze
Devou Park,2021-12-06 7:30:04,closed
Devou Park,2021-11-27 18:30:03,caution
Devou Park,2021-11-25 8:00:06,closed
Devou Park,2021-11-24 11:30:04,caution
Devou Park,2021-11-21 9:00:06,closed
Devou Park,2021-11-19 16:45:04,caution
Devou Park,2021-11-18 13:30:03,closed
Devou Park,2021-11-17 12:15:03,caution
Devou Park,2021-11-11 14:45:03,closed
Devou Park,2021-11-09 17:15:04,open
Devou Park,2021-11-01 19:30:03,caution
Devou Park,2021-10-24 10:15:04,closed
Devou Park,2021-10-17 13:30:04,caution
Devou Park,2021-10-16 8:00:05,closed
Devou Park,2021-10-09 9:00:06,caution
Devou Park,2021-10-03 12:15:03,closed
Devou Park,2021-10-02 20:45:03,caution
Devou Park,2021-09-28 8:00:05,open
Devou Park,2021-09-25 10:00:06,caution
Devou Park,2021-09-20 14:15:03,closed
Devou Park,2021-09-07 7:15:04,open
Devou Park,2021-09-06 8:15:04,closed
Devou Park,2021-09-02 18:45:03,caution
Devou Park,2021-08-29 14:00:05,closed
Devou Park,2021-08-29 10:15:03,caution
Devou Park,2021-08-26 17:30:04,closed
Devou Park,2021-08-25 21:15:03,caution
Devou Park,2021-08-25 12:30:03,closed
Devou Park,2021-08-21 14:00:04,open
Devou Park,2021-08-18 8:15:04,caution
Devou Park,2021-08-16 11:30:03,closed
Devou Park,2021-08-15 13:30:03,caution
Devou Park,2021-08-15 10:00:05,closed
Devou Park,2021-08-11 9:00:07,caution
Devou Park,2021-08-10 9:45:03,closed
Devou Park,2021-08-03 8:45:04,open
Devou Park,2021-08-01 19:15:04,caution
Devou Park,2021-07-30 8:45:04,open
Devou Park,2021-07-19 14:30:04,caution
Devou Park,2021-07-16 16:00:08,closed
Devou Park,2021-07-16 10:15:04,caution
Devou Park,2021-07-10 11:00:07,closed
Devou Park,2021-07-07 14:45:03,open
Devou Park,2021-07-03 18:45:04,caution
Devou Park,2021-06-29 19:15:03,closed
Devou Park,2021-06-29 13:00:08,caution
Devou Park,2021-06-28 19:45:03,closed
Devou Park,2021-06-24 14:00:07,open
Devou Park,2021-06-22 17:15:05,caution
Devou Park,2021-06-18 22:15:04,closed
Devou Park,2021-06-14 16:45:04,caution
Devou Park,2021-06-07 6:45:04,closed
Devou Park,2021-06-05 13:15:04,caution
Devou Park,2021-06-02 7:30:03,closed
Devou Park,2021-06-01 14:00:07,open
Devou Park,2021-05-30 18:15:05,caution
Devou Park,2021-05-26 12:45:05,closed
Devou Park,2021-05-20 8:45:04,caution
Devou Park,2021-05-17 7:15:03,closed
Devou Park,2021-05-11 21:15:02,caution
Devou Park,2021-05-07 8:45:04,closed
Devou Park,2021-05-06 16:45:04,caution
Devou Park,2021-05-03 8:45:05,closed
Devou Park,2021-04-30 15:45:04,caution
Devou Park,2021-04-28 18:30:04,closed
Devou Park,2021-04-25 21:15:05,caution
Devou Park,2021-04-24 15:15:04,closed
Devou Park,2021-04-23 8:45:04,caution
Devou Park,2021-04-21 9:30:05,closed
Devou Park,2021-04-14 16:00:08,open
Devou Park,2021-04-13 15:15:03,caution
Devou Park,2021-04-10 18:15:03,closed
Devou Park,2021-04-01 18:15:03,caution
Devou Park,2021-03-30 22:30:03,closed
Devou Park,2021-03-30 9:30:04,caution
Devou Park,2021-03-25 13:00:04,closed
Devou Park,2021-03-21 13:45:03,caution
Devou Park,2021-03-15 14:45:03,closed
Devou Park,2021-03-13 17:00:04,caution
Devou Park,2021-03-11 20:30:03,closed
Devou Park,2021-03-11 13:45:04,caution
Devou Park,2021-03-09 18:15:05,open
Devou Park,2021-03-07 12:45:03,caution
Devou Park,2021-02-22 8:15:04,closed
Devou Park,2021-02-06 8:15:04,freeze
Devou Park,2021-02-04 15:45:04,closed
Devou Park,2021-02-01 20:15:03,freeze
Devou Park,2021-01-30 21:00:05,closed
Devou Park,2021-01-28 8:45:04,freeze
Devou Park,2021-01-24 15:30:03,closed
Devou Park,2021-01-22 18:15:03,freeze
Devou Park,2021-01-13 12:00:05,closed
Devou Park,2021-01-09 19:00:04,freeze
Devou Park,2020-12-27 10:15:03,closed
Devou Park,2020-12-24 21:45:04,freeze
Devou Park,2020-12-12 13:00:05,closed
Devou Park,2020-12-12 11:00:06,caution
Devou Park,2020-12-10 11:30:04,open
Devou Park,2020-12-08 8:45:03,caution
Devou Park,2020-11-30 11:30:04,closed
Devou Park,2020-11-28 18:00:05,caution
Devou Park,2020-11-21 8:15:03,closed
Devou Park,2020-11-16 12:30:04,caution
Devou Park,2020-11-15 9:45:04,closed
Devou Park,2020-11-12 7:15:04,caution
Devou Park,2020-11-11 6:45:04,closed
Devou Park,2020-11-02 9:15:03,open
Devou Park,2020-11-01 10:45:04,caution
Devou Park,2020-10-29 6:45:04,closed
Devou Park,2020-10-24 15:45:03,caution
Devou Park,2020-10-23 21:30:03,closed
Devou Park,2020-10-23 11:15:03,caution
Devou Park,2020-10-19 8:00:08,closed
Devou Park,2020-10-06 9:00:05,open
Devou Park,2020-09-28 15:30:03,caution
Devou Park,2020-09-15 18:30:03,open
Devou Park,2020-09-13 10:00:05,caution
Devou Park,2020-09-06 10:00:05,open
Devou Park,2020-09-05 8:30:04,caution
Devou Park,2020-09-02 8:00:05,closed
Devou Park,2020-08-30 9:00:05,caution
Devou Park,2020-08-28 15:30:03,closed
Devou Park,2020-08-26 9:00:04,caution
Devou Park,2020-08-21 13:15:04,open
Devou Park,2020-08-19 20:15:03,caution
Devou Park,2020-08-18 14:45:03,closed
Devou Park,2020-08-12 8:30:04,caution
Devou Park,2020-08-11 6:30:04,closed
Devou Park,2020-08-07 18:30:03,open
Devou Park,2020-08-05 9:45:03,caution
Devou Park,2020-07-30 10:45:04,closed
Devou Park,2020-07-28 17:15:03,caution
Devou Park,2020-07-27 14:30:03,closed
Devou Park,2020-07-26 13:30:04,open
Devou Park,2020-07-25 9:00:05,caution
Devou Park,2020-07-22 8:00:05,closed
Devou Park,2020-07-20 12:00:04,caution
Devou Park,2020-07-19 18:00:04,closed
Devou Park,2020-07-17 8:00:05,open
Devou Park,2020-07-12 13:15:04,caution
Devou Park,2020-07-12 10:00:04,closed
Devou Park,2020-07-11 9:15:04,caution
Devou Park,2020-07-10 9:15:03,closed
Devou Park,2020-07-08 8:00:04,caution
Devou Park,2020-07-06 19:00:04,closed
Devou Park,2020-07-02 16:15:03,caution
Devou Park,2020-06-28 8:15:04,closed
Devou Park,2020-06-24 7:15:03,caution
Devou Park,2020-06-23 6:30:03,closed
Devou Park,2020-06-22 17:45:04,caution
Devou Park,2020-06-22 9:15:04,closed
Devou Park,2020-06-20 6:15:03,open
Devou Park,2020-06-19 16:00:04,caution
Devou Park,2020-06-18 17:45:04,closed
Devou Park,2020-06-18 17:30:03,caution
Devou Park,2020-06-16 15:15:04,open
Devou Park,2020-06-14 12:15:03,caution
Devou Park,2020-06-12 10:15:04,open
Devou Park,2020-06-05 17:30:03,caution
Devou Park,2020-06-04 14:15:03,closed
Devou Park,2020-06-03 9:00:05,open
Devou Park,2020-05-30 21:45:03,caution
Devou Park,2020-05-17 17:15:03,closed
Devou Park,2020-05-09 12:45:04,caution
Devou Park,2020-05-08 9:15:04,closed
Devou Park,2020-05-07 11:30:03,caution
Devou Park,2020-05-03 13:30:03,closed
Devou Park,2020-05-01 21:15:04,caution
Devou Park,2020-04-29 12:00:05,closed
Devou Park,2020-04-28 16:30:05,caution
Devou Park,2020-04-23 10:00:05,closed
Devou Park,2020-04-19 10:00:05,caution
Devou Park,2020-04-17 17:00:05,closed
Devou Park,2020-04-14 20:45:04,caution
Devou Park,2020-04-13 9:15:04,closed
Devou Park,2020-04-10 8:30:04,caution
Devou Park,2020-04-09 8:30:04,closed
Devou Park,2020-03-30 14:45:03,caution
Devou Park,2020-03-27 9:15:04,closed
